primary_track,program_duration_days,placed,employment_status,highest_level_of_education,biggest_challenge_in_search,work_authorization_status,number_of_interviews,number_of_applications,professional_experience_num
SWE,3.0,0,Employed,Master's Degree,CV issue,Other,3.0,6,0.5
PSO,112.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,0.0,3,1.5
SWE,112.0,0,Unemployed,Bachelor's Degree,CV issue,Other,0.0,35,3.5
SWE,112.0,0,Employed,Bachelor's Degree,Career clarity,Citizen,4.0,150,1.5
SWE,112.0,0,Employed,Bachelor's Degree,Career clarity,Other,10.0,120,5.0
SWE,112.0,0,Unemployed,Bachelor's Degree,Tech issue,Citizen,2.0,20,0.5
Design,112.0,0,Unemployed,Master's Degree,CV issue,Citizen,0.0,10,0.5
SWE,112.0,0,Student,Master's Degree,Interview skills,Other,0.0,10,1.5
SWE,0.0,0,Contractor,Bachelor's Degree,Career clarity,Citizen,10.0,100,1.5
SWE,38.0,1,Employed,Bachelor's Degree,Interview skills,Citizen,11.0,50,0.5
SWE,130.0,1,Student,Bachelor's Degree,Interview skills,Green Card,15.0,10,5.0
SWE,112.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,20.0,90,1.5
SWE,69.0,1,Unemployed,Bachelor's Degree,CV issue,Other,1.0,45,1.5
SWE,117.0,1,Employed,Master's Degree,Interview skills,Citizen,1.0,20,0.5
Data,12.0,0,Student,Bachelor's Degree,CV issue,Other,6.0,60,0.5
Design,16.0,0,Unemployed,Master's Degree,CV issue,Citizen,0.0,350,0.5
PSO,48.0,0,Unemployed,Bachelor's Degree,CV issue,Other,2.0,100,5.0
SWE,14.0,0,Contractor,Bachelor's Degree,Tech issue,Citizen,0.0,6,1.5
SWE,15.0,0,Student,Master's Degree,Interview skills,Citizen,4.0,50,5.0
PSO,112.0,0,Contractor,Master's Degree,Interview skills,Citizen,0.0,100,0.5
Design,66.0,0,Student,Bachelor's Degree,Interview skills,Other,19.0,150,1.5
SWE,76.0,1,Unemployed,Master's Degree,CV issue,Citizen,2.0,50,3.5
SWE,83.0,1,Contractor,Bachelor's Degree,Tech issue,Citizen,0.0,0,1.5
Design,112.0,0,Employed,Bachelor's Degree,CV issue,Other,2.0,100,1.5
Data,0.0,0,Unemployed,Bachelor's Degree,CV issue,Green Card,1.0,150,5.0
SWE,14.0,0,Student,Doctorate or Professional Degree,CV issue,Citizen,0.0,25,1.5
SWE,112.0,0,Student,"Some College, No Degree",CV issue,Citizen,0.0,60,0.5
SWE,82.0,1,Contractor,Master's Degree,CV issue,Citizen,0.0,0,1.5
Design,112.0,0,Employed,Bachelor's Degree,CV issue,Citizen,0.0,50,0.5
SWE,46.0,1,Student,Bachelor's Degree,CV issue,Other,0.0,160,1.5
SWE,112.0,0,Student,Bachelor's Degree,Interview skills,Citizen,0.0,2,5.0
SWE,0.0,0,Employed,Master's Degree,CV issue,Other,0.0,10,1.5
Data,112.0,0,Student,Bachelor's Degree,CV issue,Other,2.0,0,1.5
Data,112.0,0,Student,Master's Degree,CV issue,Citizen,3.0,20,0.5
PSO,12.0,0,Employed,Bachelor's Degree,CV issue,Other,0.0,8,3.5
PSO,112.0,0,Employed,Bachelor's Degree,Career clarity,Citizen,7.0,80,3.5
Data,112.0,0,Student,Master's Degree,CV issue,Other,0.0,70,1.5
SWE,2.0,0,Student,Bachelor's Degree,Interview skills,Citizen,5.0,10,0.5
SWE,0.0,0,Employed,Bachelor's Degree,Interview skills,Other,4.0,7,1.5
SWE,94.0,1,Employed,Bachelor's Degree,Tech issue,Citizen,0.0,10,3.5
SWE,112.0,0,Student,Bachelor's Degree,Interview skills,Other,1.0,1,1.5
Data,112.0,0,Student,Bachelor's Degree,CV issue,Green Card,1.0,10,5.0
SWE,19.0,0,Student,Bachelor's Degree,CV issue,Other,0.0,45,3.5
SWE,0.0,0,Student,Bachelor's Degree,CV issue,Green Card,1.0,30,1.5
SWE,112.0,0,Student,Master's Degree,Interview skills,Other,3.0,7,1.5
Data,57.0,1,Student,Bachelor's Degree,Career clarity,Citizen,2.0,70,5.0
SWE,112.0,0,Student,Master's Degree,CV issue,Other,0.0,6,0.5
Data,15.0,0,Unemployed,Bachelor's Degree,Interview skills,Other,0.0,9,3.5
SWE,34.0,0,Unemployed,Master's Degree,Interview skills,Other,0.0,35,5.0
SWE,46.0,0,Student,Master's Degree,Tech issue,Other,0.0,3,0.5
SWE,112.0,0,Employed,Bachelor's Degree,CV issue,Citizen,2.0,40,1.5
Design,0.0,0,Unemployed,Bachelor's Degree,Interview skills,Citizen,0.0,60,0.5
PSO,0.0,0,Employed,Bachelor's Degree,CV issue,Citizen,3.0,7,0.5
Data,112.0,0,Student,Master's Degree,Interview skills,Other,2.0,50,3.5
Design,0.0,0,Employed,Master's Degree,Career clarity,Citizen,2.0,300,1.5
SWE,0.0,0,Unemployed,Bachelor's Degree,Career clarity,Green Card,0.0,60,3.5
Data,24.0,1,Unemployed,Bachelor's Degree,Interview skills,Other,10.0,400,3.5
Data,112.0,0,Contractor,Bachelor's Degree,Interview skills,Other,1.0,25,1.5
SWE,112.0,0,Student,Master's Degree,CV issue,Other,1.0,20,1.5
SWE,0.0,0,Student,Bachelor's Degree,CV issue,Other,0.0,10,3.5
PSO,14.0,0,Employed,Bachelor's Degree,Career clarity,Citizen,0.0,100,3.5
SWE,112.0,0,Unemployed,Bachelor's Degree,Career clarity,Citizen,4.0,0,5.0
SWE,274.0,1,Employed,Bachelor's Degree,Interview skills,Other,2.0,20,5.0
SWE,112.0,0,Student,Master's Degree,CV issue,Other,0.0,10,1.5
SWE,14.0,0,Unemployed,Bachelor's Degree,Interview skills,Citizen,3.0,40,3.5
SWE,112.0,0,Employed,Master's Degree,CV issue,Other,0.0,2,1.5
SWE,112.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,3.0,30,3.5
SWE,0.0,0,Student,Bachelor's Degree,Interview skills,Other,3.0,50,1.5
Data,112.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,4.0,10,1.5
PSO,12.0,0,Unemployed,"Some College, No Degree",CV issue,Citizen,0.0,9,3.5
SWE,60.0,1,Employed,Bachelor's Degree,Interview skills,Citizen,12.0,170,5.0
PSO,0.0,0,Employed,Bachelor's Degree,CV issue,Citizen,3.0,10,1.5
PSO,8.0,0,Student,Bachelor's Degree,Tech issue,Other,5.0,25,0.5
SWE,0.0,0,Student,Bachelor's Degree,CV issue,Citizen,1.0,20,1.5
PSO,112.0,0,Employed,Master's Degree,CV issue,Citizen,0.0,0,1.5
SWE,31.0,0,Employed,Bachelor's Degree,CV issue,Green Card,0.0,25,1.5
Design,112.0,0,Student,Master's Degree,Career clarity,Other,0.0,50,1.5
PSO,0.0,0,Contractor,Master's Degree,Tech issue,Citizen,1.0,6,0.5
PSO,0.0,0,Unemployed,Master's Degree,CV issue,Other,0.0,15,1.5
PSO,112.0,0,Student,Bachelor's Degree,CV issue,Other,0.0,50,0.5
SWE,33.0,1,Unemployed,Bachelor's Degree,Tech issue,Green Card,10.0,400,1.5
SWE,0.0,0,Unemployed,Bachelor's Degree,CV issue,Other,0.0,7,1.5
Design,112.0,0,Contractor,Bachelor's Degree,Interview skills,Green Card,4.0,40,1.5
PSO,14.0,0,Unemployed,Bachelor's Degree,CV issue,Other,10.0,200,0.5
PSO,112.0,0,Unemployed,Master's Degree,CV issue,Citizen,3.0,40,5.0
SWE,24.0,1,Student,"Some College, No Degree",Tech issue,Other,0.0,130,0.5
SWE,38.0,1,Unemployed,"Some College, No Degree",CV issue,Citizen,5.0,100,0.5
Design,38.0,1,Unemployed,Bachelor's Degree,CV issue,Citizen,0.0,30,5.0
SWE,112.0,0,Contractor,Master's Degree,Interview skills,Other,0.0,0,0.5
SWE,112.0,0,Employed,Bachelor's Degree,Interview skills,Other,0.0,300,0.5
PSO,2.0,0,Contractor,Master's Degree,Career clarity,Citizen,2.0,50,3.5
PSO,0.0,0,Student,Bachelor's Degree,Interview skills,Citizen,0.0,0,0.5
SWE,111.0,1,Student,Master's Degree,Career clarity,Citizen,0.0,6,3.5
Design,0.0,0,Unemployed,"Some College, No Degree",CV issue,Other,0.0,60,3.5
SWE,112.0,0,Employed,Bachelor's Degree,CV issue,Green Card,20.0,60,0.5
SWE,9.0,0,Unemployed,Bachelor's Degree,Career clarity,Citizen,0.0,0,3.5
SWE,112.0,0,Unemployed,Bachelor's Degree,CV issue,Other,4.0,15,0.5
PSO,112.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,6.0,15,0.5
SWE,0.0,0,Student,Bachelor's Degree,Interview skills,Citizen,0.0,8,5.0
PSO,0.0,0,Employed,Bachelor's Degree,Interview skills,Citizen,7.0,7,5.0
Design,112.0,0,Employed,Bachelor's Degree,Interview skills,Other,0.0,20,5.0
SWE,0.0,0,Student,Master's Degree,CV issue,Other,1.0,8,3.5
PSO,0.0,0,Employed,Bachelor's Degree,Career clarity,Citizen,0.0,0,3.5
SWE,112.0,0,Employed,Bachelor's Degree,Interview skills,Citizen,6.0,50,0.5
Design,60.0,0,Student,Master's Degree,Interview skills,Other,3.0,60,3.5
SWE,112.0,0,Unemployed,Bachelor's Degree,CV issue,Other,3.0,100,1.5
SWE,112.0,0,Unemployed,Bachelor's Degree,Interview skills,Citizen,3.0,4,1.5
SWE,0.0,0,Unemployed,Bachelor's Degree,Interview skills,Citizen,0.0,3,1.5
SWE,112.0,0,Employed,Bachelor's Degree,Tech issue,Citizen,7.0,40,1.5
SWE,8.0,0,Unemployed,Master's Degree,CV issue,Other,4.0,9,3.5
SWE,11.0,0,Unemployed,Bachelor's Degree,Career clarity,Citizen,0.0,25,1.5
Data,112.0,0,Employed,Bachelor's Degree,CV issue,Other,3.0,15,1.5
SWE,112.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,2.0,100,3.5
SWE,13.0,0,Employed,"Some College, No Degree",Career clarity,Other,10.0,30,0.5
SWE,112.0,0,Unemployed,Master's Degree,Tech issue,Other,1.0,1,1.5
SWE,114.0,1,Unemployed,Bachelor's Degree,CV issue,Green Card,4.0,50,1.5
SWE,45.0,1,Student,Bachelor's Degree,Interview skills,Other,0.0,50,0.5
SWE,20.0,1,Employed,Bachelor's Degree,Interview skills,Citizen,0.0,8,5.0
Design,112.0,0,Employed,Bachelor's Degree,CV issue,Citizen,0.0,200,0.5
SWE,0.0,0,Unemployed,Master's Degree,Interview skills,Citizen,5.0,30,1.5
Design,112.0,0,Unemployed,"Some College, No Degree",CV issue,Citizen,0.0,15,1.5
Data,13.0,0,Employed,Master's Degree,Interview skills,Other,0.0,0,3.5
SWE,112.0,0,Unemployed,Master's Degree,CV issue,Green Card,0.0,15,3.5
SWE,16.0,1,Unemployed,Bachelor's Degree,Career clarity,Citizen,7.0,90,5.0
SWE,32.0,1,Student,Bachelor's Degree,Interview skills,Other,3.0,150,1.5
SWE,112.0,0,Employed,Bachelor's Degree,CV issue,Other,0.0,10,0.5
Data,14.0,0,Unemployed,Bachelor's Degree,Interview skills,Citizen,6.0,500,1.5
SWE,0.0,1,Employed,Bachelor's Degree,Interview skills,Green Card,0.0,8,1.5
SWE,112.0,0,Student,Master's Degree,CV issue,Other,0.0,7,3.5
SWE,112.0,0,Employed,Bachelor's Degree,Interview skills,Citizen,0.0,10,3.5
SWE,112.0,0,Student,Bachelor's Degree,Career clarity,Citizen,2.0,15,0.5
Design,112.0,0,Employed,Bachelor's Degree,CV issue,Other,1.0,20,1.5
Data,9.0,0,Student,Bachelor's Degree,Career clarity,Other,0.0,30,3.5
SWE,112.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,3.0,70,3.5
Data,254.0,0,Employed,Master's Degree,Interview skills,Citizen,2.0,8,5.0
SWE,184.0,0,Unemployed,Master's Degree,CV issue,Other,0.0,70,1.5
Data,107.0,1,Employed,Master's Degree,Interview skills,Citizen,1.0,25,0.5
SWE,9.0,0,Student,Master's Degree,CV issue,Citizen,0.0,4,1.5
SWE,112.0,0,Employed,Doctorate or Professional Degree,CV issue,Other,0.0,25,1.5
PSO,219.0,0,Unemployed,Bachelor's Degree,Career clarity,Citizen,0.0,25,0.5
PSO,296.0,0,Student,Bachelor's Degree,CV issue,Citizen,5.0,60,1.5
SWE,82.0,1,Unemployed,Bachelor's Degree,Interview skills,Citizen,6.0,40,3.5
SWE,203.0,1,Contractor,Bachelor's Degree,Career clarity,Citizen,1.0,170,1.5
SWE,54.0,1,Contractor,"Some College, No Degree",CV issue,Citizen,2.0,80,3.5
SWE,196.0,1,Student,Bachelor's Degree,CV issue,Citizen,0.0,5,3.5
SWE,74.0,1,Employed,Bachelor's Degree,CV issue,Other,0.0,7,0.5
SWE,9.0,0,Student,Master's Degree,CV issue,Citizen,5.0,25,0.5
SWE,118.0,1,Employed,Bachelor's Degree,CV issue,Citizen,1.0,3,5.0
SWE,73.0,1,Unemployed,Bachelor's Degree,CV issue,Citizen,0.0,50,1.5
SWE,11.0,1,Student,Bachelor's Degree,Interview skills,Citizen,5.0,20,0.5
SWE,192.0,1,Student,Master's Degree,Tech issue,Green Card,2.0,4,3.5
SWE,163.0,1,Employed,Master's Degree,Interview skills,Citizen,2.0,70,3.5
SWE,20.0,1,Unemployed,Bachelor's Degree,Interview skills,Citizen,0.0,60,0.5
SWE,115.0,1,Contractor,Bachelor's Degree,Tech issue,Citizen,3.0,2,3.5
SWE,73.0,1,Employed,Doctorate or Professional Degree,CV issue,Citizen,0.0,5,5.0
SWE,332.0,1,Unemployed,Master's Degree,Tech issue,Other,0.0,60,1.5
SWE,277.0,1,Contractor,Bachelor's Degree,CV issue,Other,4.0,15,1.5
SWE,112.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,1.0,100,3.5
SWE,109.0,1,Unemployed,Master's Degree,CV issue,Green Card,3.0,60,3.5
SWE,52.0,1,Contractor,"Some College, No Degree",Interview skills,Citizen,0.0,20,1.5
SWE,128.0,1,Student,Bachelor's Degree,CV issue,Citizen,4.0,25,0.5
SWE,320.0,1,Unemployed,Master's Degree,Interview skills,Citizen,0.0,3,1.5
SWE,290.0,1,Employed,Bachelor's Degree,Interview skills,Citizen,11.0,20,3.5
SWE,112.0,0,Unemployed,Bachelor's Degree,Interview skills,Citizen,2.0,40,0.5
SWE,292.0,1,Employed,Bachelor's Degree,CV issue,Green Card,2.0,150,0.5
Data,331.0,1,Student,Bachelor's Degree,Career clarity,Citizen,1.0,25,0.5
SWE,199.0,0,Student,Bachelor's Degree,CV issue,Citizen,0.0,35,3.5
SWE,114.0,1,Unemployed,Master's Degree,CV issue,Citizen,0.0,50,5.0
SWE,303.0,1,Contractor,Bachelor's Degree,Career clarity,Citizen,2.0,30,1.5
SWE,270.0,1,Employed,Bachelor's Degree,Interview skills,Citizen,0.0,0,1.5
SWE,31.0,1,Employed,Master's Degree,CV issue,Other,1.0,15,1.5
SWE,34.0,1,Employed,Bachelor's Degree,Career clarity,Citizen,0.0,15,1.5
Design,179.0,1,Contractor,Master's Degree,CV issue,Green Card,5.0,7,5.0
SWE,80.0,1,Student,Master's Degree,Career clarity,Other,4.0,40,1.5
SWE,356.0,1,Unemployed,Bachelor's Degree,CV issue,Other,2.0,20,3.5
SWE,272.0,1,Unemployed,Bachelor's Degree,CV issue,Other,5.0,70,0.5
Design,145.0,1,Student,Master's Degree,Interview skills,Citizen,4.0,2,3.5
Data,227.0,0,Employed,Bachelor's Degree,CV issue,Other,2.0,15,0.5
SWE,339.0,1,Unemployed,Bachelor's Degree,Interview skills,Citizen,0.0,80,1.5
SWE,286.0,0,Contractor,Master's Degree,Tech issue,Other,3.0,9,1.5
SWE,112.0,0,Student,Bachelor's Degree,Career clarity,Citizen,4.0,50,1.5
SWE,112.0,0,Unemployed,Master's Degree,Career clarity,Citizen,3.0,30,1.5
SWE,48.0,1,Employed,Bachelor's Degree,Career clarity,Citizen,4.0,50,0.5
SWE,108.0,1,Employed,Master's Degree,CV issue,Citizen,0.0,45,5.0
SWE,139.0,1,Unemployed,Master's Degree,Tech issue,Other,7.0,160,1.5
SWE,183.0,1,Unemployed,Bachelor's Degree,CV issue,Citizen,0.0,2,1.5
SWE,228.0,0,Student,Master's Degree,Interview skills,Other,0.0,0,0.5
SWE,253.0,1,Student,"Some College, No Degree",CV issue,Other,0.0,50,1.5
SWE,162.0,1,Student,Doctorate or Professional Degree,CV issue,Green Card,1.0,1,1.5
SWE,55.0,1,Unemployed,Bachelor's Degree,CV issue,Other,11.0,20,5.0
SWE,170.0,1,Unemployed,Bachelor's Degree,CV issue,Citizen,2.0,30,1.5
SWE,221.0,1,Student,Bachelor's Degree,CV issue,Other,5.0,0,1.5
SWE,40.0,1,Employed,GED or equivalent,Tech issue,Green Card,2.0,60,0.5
SWE,74.0,1,Unemployed,Bachelor's Degree,Tech issue,Citizen,1.0,10,1.5
SWE,10.0,1,Student,Master's Degree,CV issue,Citizen,0.0,10,1.5
SWE,78.0,1,Student,Bachelor's Degree,Interview skills,Other,3.0,70,1.5
SWE,129.0,1,Unemployed,Master's Degree,Interview skills,Citizen,1.0,10,1.5
SWE,193.0,1,Student,Bachelor's Degree,Interview skills,Citizen,2.0,10,1.5
SWE,77.0,1,Employed,Master's Degree,CV issue,Other,2.0,10,1.5
SWE,125.0,1,Unemployed,Bachelor's Degree,Tech issue,Citizen,0.0,30,1.5
SWE,65.0,1,Student,Bachelor's Degree,CV issue,Other,0.0,10,3.5
SWE,362.0,1,Employed,Bachelor's Degree,Interview skills,Citizen,1.0,60,1.5
SWE,0.0,0,Student,Bachelor's Degree,Tech issue,Other,2.0,30,0.5
SWE,159.0,1,Employed,Bachelor's Degree,CV issue,Green Card,0.0,8,1.5
SWE,114.0,1,Student,Master's Degree,Career clarity,Citizen,1.0,4,1.5
SWE,112.0,0,Employed,Bachelor's Degree,CV issue,Other,1.0,60,0.5
SWE,185.0,1,Student,Master's Degree,Career clarity,Other,0.0,100,0.5
SWE,68.0,1,Student,Bachelor's Degree,CV issue,Other,4.0,7,0.5
Data,56.0,1,Employed,Bachelor's Degree,Tech issue,Other,0.0,15,3.5
SWE,112.0,0,Employed,"Some College, No Degree",CV issue,Citizen,1.0,0,0.5
SWE,112.0,0,Student,Bachelor's Degree,Interview skills,Citizen,0.0,25,1.5
SWE,34.0,1,Employed,"Some College, No Degree",Tech issue,Citizen,4.0,40,1.5
SWE,75.0,1,Student,Bachelor's Degree,CV issue,Other,0.0,20,1.5
SWE,61.0,1,Student,Bachelor's Degree,Tech issue,Other,4.0,80,1.5
SWE,93.0,1,Unemployed,Master's Degree,Tech issue,Citizen,2.0,7,1.5
SWE,124.0,1,Unemployed,Bachelor's Degree,CV issue,Other,4.0,110,3.5
PSO,61.0,1,Employed,Bachelor's Degree,Tech issue,Other,0.0,25,1.5
SWE,236.0,1,Employed,Master's Degree,CV issue,Other,0.0,30,5.0
SWE,234.0,1,Student,Bachelor's Degree,CV issue,Other,0.0,40,0.5
SWE,112.0,0,Employed,Master's Degree,Interview skills,Other,0.0,15,1.5
SWE,213.0,0,Employed,Master's Degree,CV issue,Other,0.0,50,1.5
SWE,254.0,0,Employed,Bachelor's Degree,Interview skills,Other,0.0,10,0.5
SWE,112.0,0,Student,Master's Degree,Interview skills,Citizen,1.0,120,1.5
SWE,52.0,1,Student,Master's Degree,CV issue,Other,0.0,30,3.5
Data,128.0,0,Student,Master's Degree,CV issue,Other,2.0,10,0.5
SWE,130.0,1,Unemployed,Master's Degree,Tech issue,Citizen,0.0,15,0.5
PSO,142.0,0,Employed,"Some College, No Degree",Career clarity,Citizen,2.0,30,1.5
SWE,310.0,0,Employed,"Some College, No Degree",CV issue,Other,0.0,25,3.5
SWE,58.0,1,Employed,Bachelor's Degree,Career clarity,Citizen,11.0,10,1.5
Design,142.0,0,Student,Master's Degree,Interview skills,Citizen,5.0,80,0.5
SWE,107.0,1,Employed,Bachelor's Degree,CV issue,Citizen,4.0,15,0.5
SWE,156.0,0,Unemployed,Bachelor's Degree,CV issue,Citizen,2.0,200,0.5
SWE,101.0,1,Student,"Some College, No Degree",CV issue,Green Card,2.0,70,3.5
Design,17.0,0,Unemployed,Master's Degree,Interview skills,Citizen,0.0,15,3.5
Design,208.0,0,Employed,Doctorate or Professional Degree,CV issue,Citizen,1.0,100,1.5
PSO,0.0,0,Student,Master's Degree,Interview skills,Other,0.0,60,0.5
SWE,25.0,0,Unemployed,Bachelor's Degree,CV issue,Other,20.0,150,1.5
SWE,109.0,1,Student,Master's Degree,CV issue,Other,2.0,150,1.5
SWE,72.0,1,Employed,Bachelor's Degree,CV issue,Citizen,6.0,8,1.5
SWE,331.0,0,Unemployed,Bachelor's Degree,Tech issue,Other,1.0,9,1.5
PSO,296.0,0,Unemployed,Bachelor's Degree,Interview skills,Citizen,6.0,7,5.0
SWE,254.0,0,Employed,Bachelor's Degree,Interview skills,Other,1.0,35,1.5
SWE,80.0,0,Employed,Bachelor's Degree,CV issue,Citizen,0.0,90,0.5
SWE,20.0,0,Employed,Master's Degree,CV issue,Other,5.0,10,5.0
SWE,112.0,0,Student,Master's Degree,CV issue,Other,1.0,60,1.5
SWE,186.0,1,Student,Bachelor's Degree,CV issue,Citizen,0.0,25,1.5
PSO,135.0,0,Contractor,Bachelor's Degree,CV issue,Citizen,1.0,35,1.5
SWE,17.0,0,Student,Master's Degree,Career clarity,Citizen,0.0,10,1.5
SWE,112.0,0,Employed,Master's Degree,Career clarity,Citizen,2.0,2,1.5
SWE,112.0,0,Employed,Bachelor's Degree,Career clarity,Other,0.0,3,3.5
SWE,195.0,1,Employed,Bachelor's Degree,Career clarity,Other,0.0,0,0.5
Design,180.0,1,Unemployed,Bachelor's Degree,Interview skills,Other,19.0,6,1.5
SWE,156.0,1,Student,Bachelor's Degree,Interview skills,Citizen,0.0,40,0.5
Design,72.0,0,Unemployed,Bachelor's Degree,Tech issue,Citizen,1.0,15,5.0
Design,72.0,0,Student,GED or equivalent,Interview skills,Citizen,1.0,70,0.5
SWE,13.0,0,Unemployed,Master's Degree,Career clarity,Other,4.0,6,1.5
Design,235.0,1,Student,Master's Degree,CV issue,Other,1.0,90,1.5
Design,331.0,1,Student,Master's Degree,CV issue,Citizen,1.0,40,1.5
Data,112.0,0,Student,Bachelor's Degree,CV issue,Green Card,0.0,4,1.5
SWE,84.0,1,Employed,Doctorate or Professional Degree,Interview skills,Citizen,1.0,35,0.5
SWE,153.0,1,Unemployed,Doctorate or Professional Degree,Interview skills,Other,7.0,30,1.5
SWE,73.0,1,Student,Bachelor's Degree,Career clarity,Citizen,0.0,2,5.0
SWE,174.0,1,Employed,Master's Degree,Interview skills,Citizen,0.0,20,1.5
PSO,19.0,1,Unemployed,Bachelor's Degree,Interview skills,Other,0.0,15,1.5
Design,170.0,0,Employed,Bachelor's Degree,Tech issue,Green Card,1.0,60,0.5
SWE,228.0,0,Employed,Bachelor's Degree,CV issue,Green Card,4.0,40,3.5
SWE,282.0,0,Unemployed,Master's Degree,CV issue,Citizen,0.0,60,3.5
SWE,74.0,1,Employed,"Some College, No Degree",Interview skills,Citizen,2.0,2,0.5
SWE,51.0,1,Unemployed,Bachelor's Degree,Career clarity,Citizen,0.0,110,1.5
Data,221.0,1,Employed,Master's Degree,CV issue,Other,2.0,7,3.5
SWE,138.0,1,Unemployed,Master's Degree,CV issue,Citizen,0.0,1,0.5
SWE,60.0,1,Employed,Master's Degree,CV issue,Citizen,5.0,170,3.5
SWE,130.0,1,Employed,Doctorate or Professional Degree,Interview skills,Citizen,4.0,2,3.5
SWE,92.0,1,Student,Master's Degree,Career clarity,Citizen,0.0,1,1.5
SWE,90.0,1,Employed,Master's Degree,Interview skills,Other,0.0,50,5.0
Data,129.0,1,Employed,Bachelor's Degree,Career clarity,Other,1.0,15,1.5
Data,177.0,1,Employed,High School Graduate,CV issue,Other,5.0,70,1.5
SWE,63.0,1,Student,Bachelor's Degree,CV issue,Green Card,1.0,70,3.5
SWE,110.0,1,Unemployed,Master's Degree,Career clarity,Citizen,0.0,9,1.5
PSO,45.0,1,Student,Master's Degree,Career clarity,Other,7.0,25,0.5
SWE,83.0,1,Student,High School Graduate,Tech issue,Citizen,4.0,25,1.5
SWE,72.0,1,Employed,Master's Degree,Interview skills,Other,1.0,35,5.0
SWE,19.0,0,Unemployed,Master's Degree,Career clarity,Citizen,1.0,160,5.0
SWE,93.0,1,Employed,Bachelor's Degree,Career clarity,Other,2.0,15,1.5
Design,313.0,1,Contractor,Doctorate or Professional Degree,Career clarity,Other,1.0,25,0.5
SWE,112.0,0,Contractor,Master's Degree,Career clarity,Citizen,1.0,9,0.5
SWE,319.0,1,Employed,Master's Degree,Interview skills,Citizen,1.0,8,0.5
SWE,97.0,1,Unemployed,Master's Degree,CV issue,Citizen,0.0,8,3.5
SWE,64.0,1,Student,Master's Degree,Career clarity,Citizen,1.0,180,3.5
Design,112.0,0,Employed,Master's Degree,Interview skills,Other,2.0,90,0.5
SWE,332.0,1,Employed,Master's Degree,Interview skills,Citizen,6.0,170,1.5
SWE,177.0,1,Employed,Bachelor's Degree,Tech issue,Citizen,3.0,15,0.5
SWE,112.0,0,Unemployed,Bachelor's Degree,CV issue,Other,3.0,25,1.5
SWE,109.0,1,Contractor,Bachelor's Degree,Interview skills,Citizen,2.0,10,3.5
SWE,282.0,0,Student,Master's Degree,Career clarity,Other,1.0,130,0.5
SWE,282.0,0,Student,Bachelor's Degree,Interview skills,Other,0.0,30,3.5
SWE,191.0,0,Contractor,Bachelor's Degree,CV issue,Citizen,0.0,30,3.5
Data,268.0,0,Student,Master's Degree,CV issue,Other,1.0,20,1.5
SWE,268.0,0,Student,Bachelor's Degree,Interview skills,Other,0.0,3,0.5
SWE,268.0,0,Student,Master's Degree,Tech issue,Citizen,4.0,25,1.5
SWE,70.0,1,Student,Master's Degree,CV issue,Citizen,2.0,35,1.5
SWE,254.0,0,Unemployed,Bachelor's Degree,Interview skills,Other,6.0,45,0.5
SWE,59.0,1,Unemployed,Bachelor's Degree,CV issue,Other,3.0,80,1.5
Design,45.0,1,Student,Master's Degree,Interview skills,Citizen,0.0,20,1.5
PSO,342.0,1,Student,Bachelor's Degree,Interview skills,Citizen,0.0,20,3.5
SWE,112.0,0,Unemployed,Master's Degree,Interview skills,Green Card,0.0,15,1.5
Design,263.0,1,Employed,Bachelor's Degree,CV issue,Citizen,0.0,160,0.5
SWE,164.0,0,Unemployed,Bachelor's Degree,Interview skills,Other,4.0,25,1.5
PSO,342.0,1,Unemployed,Master's Degree,CV issue,Citizen,1.0,45,0.5
SWE,79.0,1,Employed,Doctorate or Professional Degree,CV issue,Citizen,0.0,40,0.5
Design,112.0,0,Unemployed,Master's Degree,CV issue,Other,4.0,15,1.5
Data,354.0,0,Student,Bachelor's Degree,Interview skills,Other,0.0,180,0.5
SWE,160.0,1,Unemployed,Bachelor's Degree,Career clarity,Other,5.0,50,0.5
SWE,47.0,1,Student,Bachelor's Degree,Career clarity,Green Card,0.0,60,1.5
SWE,32.0,1,Unemployed,Bachelor's Degree,Career clarity,Other,0.0,70,5.0
Design,293.0,0,Unemployed,Master's Degree,Career clarity,Citizen,7.0,25,5.0
Design,101.0,0,Unemployed,"Some College, No Degree",CV issue,Green Card,6.0,1,5.0
SWE,270.0,1,Student,Master's Degree,Interview skills,Other,1.0,15,5.0
SWE,59.0,1,Contractor,Bachelor's Degree,Interview skills,Citizen,1.0,0,3.5
SWE,53.0,1,Employed,Bachelor's Degree,Interview skills,Other,0.0,35,3.5
SWE,190.0,1,Unemployed,Master's Degree,Interview skills,Citizen,7.0,130,1.5
SWE,279.0,0,Unemployed,Master's Degree,CV issue,Citizen,0.0,200,1.5
SWE,37.0,0,Unemployed,Bachelor's Degree,CV issue,Other,0.0,3,0.5
SWE,219.0,0,Unemployed,Bachelor's Degree,CV issue,Other,2.0,2,3.5
